Step,Normal Vehicles,Autonomous Vehicles(Particles),Vehicle Type,Fitness,Travel Time,Interaction Score,Interaction Information,Global Best Fitness,Global Best Position
0,0,,car,,1.0,0,,,
1,0,,car,,2.0,0,,,
2,0,,car,,3.0,0,,,
3,0,,car,,4.0,0,,,
4,0,,car,,6.0,0,,,
4,1,,car,,2.0,0,,,
5,0,,car,,8.0,0,,,
5,1,,car,,4.0,0,,,
6,0,,car,,10.0,0,,,
6,1,,car,,6.0,0,,,
6,,2,auto,0.5,2.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 1.296858145713538
",,
7,0,,car,,13.0,0,,,
7,1,,car,,9.0,0,,,
7,,2,auto,-0.8,5.0,-1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 1.5772603948094854
",,
7,3,,car,,1.0,0,,,
8,0,,car,,18.0,0,,,
8,1,,car,,14.0,0,,,
8,,2,auto,1.1,10.0,1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 1.8746913167874482
",,
8,3,,car,,6.0,0,,,
9,0,,car,,22.0,0,,,
9,1,,car,,18.0,0,,,
9,,2,auto,1.0714285714285714,14.0,1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 1.8507490406511922
",,
9,3,,car,,10.0,0,,,
9,4,,car,,4.0,0,,,
10,0,,car,,27.0,0,,,
10,1,,car,,23.0,0,,,
10,,2,auto,1.0526315789473684,19.0,1,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 2.2101885342863783
",,
10,3,,car,,15.0,0,,,
10,4,,car,,9.0,1,,,
10,,5,auto,0.3333333333333333,3.0,0,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (6),
 distance: 1.4218583573042571
Autonomous Vehicle 5 is too close to the Leading Autonomous Vehicle (4),
 distance: 1.9536199316820557
",,
11,0,,car,,33.0,0,,,
11,1,,car,,29.0,0,,,
11,,2,auto,0.04,25.0,0,"Autonomous Vehicle 2 is too close to the Following Normal Vehicle (3),
 distance: 1.9720483206485415
",,
11,3,,car,,21.0,0,,,
11,4,,car,,15.0,0,,,
11,,5,auto,2.111111111111111,9.0,2,"Autonomous Vehicle 5 is too close to the Following Normal Vehicle (6),
 distance: 1.7314095951292656
",,
11,6,,car,,3.0,0,,,
12,0,,car,,41.0,0,,,
12,1,,car,,37.0,0,,,
